metric_name;metric_type;interval;unit_name;per_unit_name;description;orientation;integration;short_name
icinga.stats.network_outages;gauge;;outages;;Network outages;0;icingastats;ici sta netw outages
icinga.stats.percent_host_health;gauge;;percentage;;Host health in percent;0;icingastats;ici sta prct host_health
icinga.stats.percent_service_health;gauge;;percentage;;Service health in percent;0;icingastats;ici sta prct service_health
icinga.stats.total_hosts;gauge;;host;host;Total hosts;0;icingastats;ici sta tot hosts
icinga.stats.total_services;gauge;;service;service;Total services;0;icingastats;ici sta tot services
icinga.stats.hosts_pending;gauge;;host;host;Hosts pending;0;icingastats;ici sta host pending
icinga.stats.hosts_pending_active;gauge;;host;host;Hosts pending with active checks;0;icingastats;ici sta host pending_active
icinga.stats.hosts_pending_passive;gauge;;host;host;Hosts pending with passive checks;0;icingastats;ici sta host pending_passive
icinga.stats.hosts_pending_disabled;gauge;;host;host;Hosts pending with disabled checks;0;icingastats;ici sta host pending_disabled
icinga.stats.hosts_up;gauge;;host;host;Hosts up;0;icingastats;ici sta host up
icinga.stats.hosts_up_active;gauge;;host;host;Hosts up with active checks;0;icingastats;ici sta host up_active
icinga.stats.hosts_up_passive;gauge;;host;host;Hosts up with passive checks;0;icingastats;ici sta host up_passive
icinga.stats.hosts_up_disabled;gauge;;host;host;Hosts up with disabled checks;0;icingastats;ici sta host up_disabled
icinga.stats.hosts_down;gauge;;host;host;Hosts down;0;icingastats;ici sta host down
icinga.stats.hosts_down_active;gauge;;host;host;Hosts down with acrive checks;0;icingastats;ici sta host down_active
icinga.stats.hosts_down_passive;gauge;;host;host;Hosts down with passive checks;0;icingastats;ici sta host down_passive
icinga.stats.hosts_down_disabled;gauge;;host;host;Hosts down with disable checks;0;icingastats;ici sta host down_disabled
icinga.stats.hosts_down_scheduled;gauge;;host;host;Hosts down with scheduled downtime;0;icingastats;ici sta host down_scheduled
icinga.stats.hosts_down_active_scheduled;gauge;;host;host;Hosts down with scheduled downtime and active checks;0;icingastats;ici sta host down_active_scheduled
icinga.stats.hosts_down_passive_scheduled;gauge;;host;host;Hosts down with scheduled downtime and passive checks;0;icingastats;ici sta host down_passive_scheduled
icinga.stats.hosts_down_disabled_scheduled;gauge;;host;host;Hosts down with scheduled downtime and disabled checks;0;icingastats;ici sta host down_disabled_scheduled
icinga.stats.hosts_down_acknowledged;gauge;;host;host;Hosts down with acknowledged alerts ;0;icingastats;ici sta host down_acknowledged
icinga.stats.hosts_down_active_acknowledged;gauge;;host;host;Hosts down with active checks and acknowledged alerts;0;icingastats;ici sta host down_active_acknowledged
icinga.stats.hosts_down_passive_acknowledged;gauge;;host;host;Hosts down with passive checks and acknowledged alerts;0;icingastats;ici sta host down_passive_acknowledged
icinga.stats.hosts_down_disabled_acknowledged;gauge;;host;host;Hosts down with disabled checks acknowledged alerts;0;icingastats;ici sta host down_disabled_acknowledged
icinga.stats.hosts_down_unacknowledged;gauge;;host;host;Hosts down with unacknowledged alerts ;0;icingastats;ici sta host down_unacknowledged
icinga.stats.hosts_down_active_unacknowledged;gauge;;host;host;Hosts down with active checks and unacknowledged alerts;0;icingastats;ici sta host down_active_unacknowledged
icinga.stats.hosts_down_passive_unacknowledged;gauge;;host;host;Hosts down with passive checks and unacknowledged alerts;0;icingastats;ici sta host down_passive_unacknowledged
icinga.stats.hosts_down_disabled_unacknowledged;gauge;;host;host;Hosts down with disabled checks unacknowledged alerts;0;icingastats;ici sta host down_disabled_unacknowledged
icinga.stats.hosts_unreachable;gauge;;host;host;Hosts unreachable;0;icingastats;ici sta host unreachable
icinga.stats.hosts_unreachable_active;gauge;;host;host;Hosts unreachable with active checks;0;icingastats;ici sta host unreachable_active
icinga.stats.hosts_unreachable_passive;gauge;;host;host;Hosts unreachable with passive checks;0;icingastats;ici sta host unreachable_passive
icinga.stats.hosts_unreachable_disabled;gauge;;host;host;Hosts unreachable with active checks;0;icingastats;ici sta host unreachable_disabled
icinga.stats.hosts_unreachable_scheduled;gauge;;host;host;Hosts unreachable with scheduled downtime;0;icingastats;ici sta host unreachable_scheduled
icinga.stats.hosts_unreachable_active_scheduled;gauge;;host;host;Hosts unreachable with active checks and scheduled downtime;0;icingastats;ici sta host unreachable_active_scheduled
icinga.stats.hosts_unreachable_passive_scheduled;gauge;;host;host;Hosts unreachable with passive checks and scheduled downtime;0;icingastats;ici sta host unreachable_passive_scheduled
icinga.stats.hosts_unreachable_disabled_scheduled;gauge;;host;host;Hosts unreachable with active checks and scheduled downtime;0;icingastats;ici sta host unreachable_disabled_scheduled
icinga.stats.hosts_unreachable_acknowledged;gauge;;host;host;Hosts unreachable with acknowledged alerts;0;icingastats;ici sta host unreachable_acknowledged
icinga.stats.hosts_unreachable_active_acknowledged;gauge;;host;host;Hosts unreachable with active checks and acknowledged alerts;0;icingastats;ici sta host unreachable_active_acknowledged
icinga.stats.hosts_unreachable_passive_acknowledged;gauge;;host;host;Hosts unreachable with passive checks and acknowledged alerts;0;icingastats;ici sta host unreachable_passive_acknowledged
icinga.stats.hosts_unreachable_disabled_acknowledged;gauge;;host;host;Hosts unreachable with disabled checks and acknowledged alerts;0;icingastats;ici sta host unreachable_disabled_acknowledged
icinga.stats.hosts_unreachable_unacknowledged;gauge;;host;host;Hosts unreachable with unacknowledged alerts;0;icingastats;ici sta host unreachable_unacknowledged
icinga.stats.hosts_unreachable_active_unacknowledged;gauge;;host;host;Hosts unreachable with active checks and unacknowledged alerts;0;icingastats;ici sta host unreachable_active_unacknowledged
icinga.stats.hosts_unreachable_passive_unacknowledged;gauge;;host;host;Hosts unreachable with passive checks and unacknowledged alerts;0;icingastats;ici sta host unreachable_passive_unacknowledged
icinga.stats.hosts_unreachable_disabled_unacknowledged;gauge;;host;host;Hosts unreachable with disabled checks and unacknowledged alerts;0;icingastats;ici sta host unreachable_disabled_unacknowledged
icinga.stats.services_pending;gauge;;service;service;Services with pending checks;0;icingastats;ici sta srvc pending
icinga.stats.services_pending_host_down;gauge;;service;service;Services with pending checks and host down;0;icingastats;ici sta srvc pending_host_down
icinga.stats.services_pending_active;gauge;;service;service;Services with pending checks and active checks;0;icingastats;ici sta srvc pending_active
icinga.stats.services_pending_active_host_down;gauge;;service;service;Services with pending checks, active checks and host down;0;icingastats;ici sta srvc pending_active_host_down
icinga.stats.services_pending_passive;gauge;;service;service;Services with pending checks and passive checks;0;icingastats;ici sta srvc pending_passive
icinga.stats.services_pending_passive_host_down;gauge;;service;service;Services with pending checks, passive checks and host down;0;icingastats;ici sta srvc pending_passive_host_down
icinga.stats.services_pending_disabled;gauge;;service;service;Services with pending checks and disabled checks;0;icingastats;ici sta srvc pending_disabled
icinga.stats.services_pending_disabled_host_down;gauge;;service;service;Services with pending checks, disabled checks and host down;0;icingastats;ici sta srvc pending_disabled_host_down
icinga.stats.services_ok;gauge;;service;service;Services in state OK;0;icingastats;ici sta srvc ok
icinga.stats.services_ok_host_down;gauge;;service;service;Services in state OK and host down;0;icingastats;ici sta srvc ok host_down
icinga.stats.services_ok_active;gauge;;service;service;Services in state OK and active checks;0;icingastats;ici sta srvc ok active
icinga.stats.services_ok_active_host_down;gauge;;service;service;Services in state OK, active checks and host down;0;icingastats;ici sta srvc ok active_host_down
icinga.stats.services_ok_passive;gauge;;service;service;Services in state OK and passive checks;0;icingastats;ici sta srvc ok passive
icinga.stats.services_ok_passive_host_down;gauge;;service;service;Services in state OK, passive checks and host down;0;icingastats;ici sta srvc ok passive_host_down
